〆,シメ,〆,56810,1
〆垣,シメガキ,〆垣,56818,1
〆崎,シメサキ,〆崎,56835,1
〆崎,シメザキ,〆崎,56836,1
〆谷,シメタニ,〆谷,56846,1
〆田,シメタ,〆田,56841,1
〆田,シメダ,〆田,56843,1
〆本,シメモト,〆本,56863,1
〆木,シメキ,〆木,56824,1
〆木,シメギ,〆木,56831,1
〆野,シメノ,〆野,56849,1
亜雁,アカリ,亜雁,947,1
亜岐,アキ,亜岐,985,1
亜宮原,アクハラ,亜宮原,1380,1
亜原,アハラ,亜原,3335,1
亜地知,アジチ,亜地知,2416,1
亜比留,アビル,亜比留,3360,1
亜厂,アカリ,亜厂,948,1
阿,オカ,阿,20764,1
阿,ホトリ,阿,105982,1
阿 上,アザガミ,阿 上,1779,1
阿々津,アクツ,阿々津,1356,1
阿安,アヤス,阿安,4055,1
阿井,アイ,阿井,1,1
阿井光,アイミツ,阿井光,346,1
阿井川,アイカワ,阿井川,52,1
阿雲,アウン,阿雲,382,1
阿王,アオウ,阿王,404,1
阿下,アシタ,阿下,2379,1
阿加井,アカイ,阿加井,595,1
阿加多,アガタ,阿加多,757,1
阿嘉,アカ,阿嘉,587,1
阿嘉嶺,アカミネ,阿嘉嶺,924,1
阿河,アガ,阿河,589,1
阿河,アガワ,阿河,979,1
阿迦井,アカイ,阿迦井,596,1
阿我妻,アガツマ,阿我妻,802,1
阿我田,アガタ,阿我田,758,1
阿我礼,アガレ,阿我礼,978,1
阿賀,アガ,阿賀,590,1
阿賀井,アカイ,阿賀井,597,1
阿賀岡,アガオカ,阿賀岡,630,1
阿賀谷,アガタニ,阿賀谷,781,1
阿賀谷,アガヤ,阿賀谷,940,1
阿賀田,アガタ,阿賀田,759,1
阿賀野,アガノ,阿賀野,841,1
阿賀利,アガリ,阿賀利,954,1
阿賀嶺,アカミネ,阿賀嶺,925,1
阿賀嶺,アガミネ,阿賀嶺,930,1
阿会根,アカネ,阿会根,826,1
阿会根,アコネ,阿会根,1628,1
阿垣,アガキ,阿垣,661,1
阿掛,アガケ,阿掛,675,1
阿潟浜,アガタハマ,阿潟浜,783,1
阿間,アマ,阿間,3489,1
阿間見,アマミ,阿間見,3790,1
阿間子,アマコ,阿間子,3623,1
阿間川,アマカワ,阿間川,3576,1
阿岸,アギシ,阿岸,1067,1
阿寄,アヨリ,阿寄,4115,1
阿紀,アキ,阿紀,986,1
阿久,アク,阿久,1319,1
阿久井,アクイ,阿久井,1321,1
阿久井,アグイ,阿久井,1323,1
阿久間,アクマ,阿久間,1384,1
阿久原,アクハラ,阿久原,1381,1
阿久戸,アクト,阿久戸,1364,1
阿久戸,アクド,阿久戸,1368,1
阿久根,アクネ,阿久根,1373,1
阿久沢,アクサワ,阿久沢,1331,1
阿久沢,アクザワ,阿久沢,1334,1
阿久津,アクツ,阿久津,1357,1
阿久田,アクタ,阿久田,1343,1
阿久田,アクダ,阿久田,1347,1
阿久刀川,アクタガワ,阿久刀川,1348,1
阿久禰,アクネ,阿久禰,1374,1
阿久澤,アクサワ,阿久澤,1332,1
阿久澤,アクザワ,阿久澤,1335,1
阿宮,アミヤ,阿宮,3938,1
阿弓,アユミ,阿弓,4112,1
阿郷,アゴウ,阿郷,1612,1
阿玉,アタマ,阿玉,2947,1
阿玉,アダマ,阿玉,2948,1
阿近,アジカ,阿近,2287,1
阿金,アガネ,阿金,830,1
阿具根,アグネ,阿具根,1378,1
阿喰,アジキ,阿喰,2330,1
阿隅,アスミ,阿隅,2677,1
阿桑,アクワ,阿桑,1395,1
阿形,アガタ,阿形,760,1
阿慶田,アケダ,阿慶田,1474,1
阿慶田,アゲダ,阿慶田,1480,1
阿月,アヅキ,阿月,3024,1
阿県,アガタ,阿県,761,1
阿見,アミ,阿見,3845,1
阿見寺,アミジ,阿見寺,3881,1
阿見寺,アミデラ,阿見寺,3906,1
阿見田,アミダ,阿見田,3892,1
阿見弥,アミヤ,阿見弥,3939,1
阿原,アハラ,阿原,3336,1
阿原,アバラ,阿原,3337,1
阿原,アワラ,阿原,4979,1
阿古,アコ,阿古,1596,1
阿古井,アコイ,阿古井,1602,1
阿古下,アコシタ,阿古下,1622,1
阿古江,アコエ,阿古江,1618,1
阿古目,アコメ,阿古目,1630,1
阿戸,アト,阿戸,3154,1
阿戸,アド,阿戸,3157,1
阿呉夢,エクレム,阿呉夢,16963,1
阿吾,アゴ,阿吾,1600,1
阿光,アコウ,阿光,1603,1
阿口,アグチ,阿口,1355,1
阿向,アコウ,阿向,1604,1
阿江,アイエ,阿江,19,1
阿江,アエ,阿江,383,1
阿甲,アコウ,阿甲,1605,1
阿高,アタカ,阿高,2891,1
阿合,アゴウ,阿合,1613,1
阿黒,アグロ,阿黒,1393,1
阿佐,アサ,阿佐,1632,1
阿佐伊,アサイ,阿佐伊,1640,1
阿佐慶,アサゲ,阿佐慶,1845,1
阿佐見,アサミ,阿佐見,2151,1
阿佐見,アザミ,阿佐見,2167,1
阿佐比,アサヒ,阿佐比,2059,1
阿佐尾,アサオ,阿佐尾,1692,1
